id	Description	Harasser	Time	Location	Trigger	harasser_age	harasser_num	harasser_type	time_of_day	location_type
1053	i was walking at 8pm , ahmedabad , behind gujurat university , a man followed me , when there was a space in the street he grabbed me by both hands , i shout as loud as possible and run away to the police station . he didn t follow me .	['man']	['8pm']	None	['followed', 'grabbed me']	2	1	0	2	0
4895	i was on my way to the shop when a man next to the ropad started calling me and i ignored	['man']	None	['ropad']	['calling']	2	1	0	0	0
4881	boys were passing lewd comments when i passed them . it happened during afternoon hours .	['Boys']	['afternoon']	None	['passing lewd comments']	1	2	0	1	0
1047	there was a colleague of my cousin studying in the law faculty of delhi university . she was passing by malkaganj near kamla nagar . there was a group of minors who patted her on the backside . she followed them and got hold of them .	['group of minors']	None	None	['patted her on the backside']	1	2	0	0	0
0359	i am a lawyer and i work late almost every second day when i transit to new bombay from andheri via wadala rd . station i see the local boys or boys travelling from that line passing expressly lewd comments and gestures towards female commuters , transgender commuters and effeminate men within the train station in full view of the police officers deployed at the station .	['local boys or boys travelling from that line']	None	['Station']	['passing expressly lewd comments and gestures']	1	2	0	0	3
0371	two men on a bike followed me in the morning when i was going to school . they were way older . i can never understand why will someone follow a child like this , we are not safe anywhere . the area where my school is also very unsafe . my friends and i always discuss how common harassment is here and how always girls are blamed and made to sit at home when they complain	['two men']	['morning']	None	['followed']	2	2	0	1	0
4117	boys on d road side saying chalti h ky . i had nothing to do feeling so in secure i took a auto n moved .	['boys']	None	['road']	['saying chalti h ky']	1	2	0	0	1
4671	people do comment about dresses and stuff in the kamla nagar area . it happened in the evening .	None	['evening']	None	['comment']	0	0	0	2	0
0417	it was about to be night , i was walking alone in highway . one gang of bad boys started to tease me . to be honest i was in shorts . i was too scared so i didn t even get courage to look at their face so i ran but they started to follow me amp suddenly i entered in someone s house amp they thought that was my house so they returned back to their way .	['gang of bad boys']	['night']	['highway']	['tease', 'follow']	1	2	0	2	1
0403	i had gone to my friend s place in the afternoon . we were sitting outside her house and talking when we saw a man who was constantly staring in our direction . we told an uncle nearby about it but he ignored us , then we told an aunty about us who came and helped us . she confronted the man , he first denied doing it but then later apologized and left	['man']	['afternoon']	None	['staring']	2	1	0	1	0
4665	she is working . touching , groping and staring are things she faces almost on a regular basis .	None	None	None	['Touching', 'groping', 'staring']	0	0	0	0	0
4103	i was with a friend . two guys came on a bike and the person sitting at the back touched my friend s ass .	['Two guys']	None	None	["touched my friend's ass"]	0	2	0	0	0
0365	he was a r emotewala man basically dealing with used stuff . this man used to come to our society to collect used stuff in noon time . it was one day when i was out near the corridor that this man passed by and suddenly down there he started undressing himself and he actually showed me his penis and gestured to me whether i wanted it . dadarkar compound , tulshiwadi , tardeo	['emotewala man', 'man']	['noon']	None	['gestured to me whether i wanted it', 'undressing himself', 'showed me his penis']	2	1	0	1	0
1090	i was standing in my balcony at 900 pm . whan a guy comes closer to my society . it was dark and nobody was out . he just started peeling off his pants . . . that was a horrible experience and that day i realise what masterbation is .	['guy']	['900 pm']	None	['MASTERBATION', 'peeling off his pants']	0	1	0	2	0
4856	i was trying to get an auto post shopping and there was this guy who was clicking pictures	['guy']	None	None	['clicking pictures']	0	1	0	0	0
4842	i used to whistle girls on the street but now i am aware that it is a kind of harassement	['i']	None	['street']	['whistle']	0	1	0	0	1
1084	one woman in her 40 s , status single , sexually harassed by her driver . she complained to police but they refused to write an fir . after showing evidence of mobile and and influence of a political party , fir was done by police .	['driver']	None	None	['harassed']	0	1	7	0	0
0629	one day when i was travelling on pack bus . there was a man who stood near by me . he touched me more than 23 times . i thought he must be doing it unknowingly but later i realized it that he was doing it purposely . then i pinched him next time when he tried to touch me . he said sorry to me .	['man']	None	['bus']	['touched']	2	1	0	0	2
1251	i was on my way to the shope to buy mandazi at break time , then i mate a drunkad man he started calling me hey babie youve got very nice chicks , i dind respond because he was an elderly man i walked away instead .	['elderly man', 'drunkad man']	None	None	['calling me hey babie']	2	1	0	0	0
4329	on my way from school i met some boys and they forced me to remove my shirt and started touching me	['some boys']	None	None	['forced me to remove my shirt', 'touching']	1	2	0	0	0
0615	while goning home frm ktm to baglung i was in the bus . . . thre was one 4045 yr old guy next to me at our seat while turning point at road that guy try to touch me n my body parts . . . he did two three times so i screeemed abt its n other pax support me n every one force him to leave that bus .	['4045 yr old guy']	None	['bus']	['touch']	2	1	0	0	2
4473	while shopping on tnagar road of chennai . i noticed a few men calling out names , which disturbed me	['a few men']	None	['road']	['disturbed', 'calling out names']	2	2	0	0	1
4315	as we were going to church with a friend in otiende a guy just stood in fronth showing us his penis .	['guy']	None	None	['showing us his penis']	0	1	0	0	0
0173	i received a message on whatsapp today from an unknown number . i asked the person to identify themselves and the guy says he saw me at the bank in cr park and picked my number from the form i was submitting at the bank . said he is a college student and wants to speak to me . he is sending me his pictures and random messages calling me dear etc . . . i haven t responded to any of his messages after one message to identify himself . freaky ! i goto the bank almost every other day and don t know who this person is !	['guy']	None	None	['sending me his pictures and random messages', 'calling']	0	1	0	0	0
0167	i went to khanpur for shopping in the evening with my sister where a group of boys started following us . we started walking fast and also changed our route many times so that they would stop chasing her . but they kept on following us . then we went inside a shop and stayed there for a long time . there were some women in the shop and when one of them asked us what happened we told her the same and also told her that those boys were still outside the shop . then one lady went out and chased those boys away . its been a month .	['group of boys']	['evening']	None	['following']	1	2	0	2	0
4301	group of 4 boys touching continuously even after telling them not to do so . route no . 721 , 753 , 821 , 853	['group of 4 boys']	None	None	['touching']	1	2	0	0	0
4467	i went to visit a male friend , we discussed . upon returning he grabbed me and forced himself on me .	['male friend']	None	None	['grabbed', 'forced himself on me']	0	1	4	0	0
