"	Description	Commenting	Ogling/Facial Expressions/Staring	Touching /Groping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0000	n the eyes of many", the offices of Pakistan are filled with lecherous bosses. All too often, working women have tales of their perversions the lesser ones include gaze and glance, the occasional grope, the unwanted text message, the innuendo the bigger ones include invitations to meet outside the office, over lunch or dinner  with plum assignments, promotions, job security and professional reputations hanging in the balance.Resignation is no guarantee of reprieve there are reference letters to be obtained, future employment to be worried about. In an expensive, inflationwracked and increasingly competitive Pakistani workplace, there are many women who continue to be targets for men with power.The arithmetic of want and need is in display divorced women, single mothers, the older and the unmarried are particularly vulnerable to harassment. In the words of one single mother who endured 10 years of harassment, the pursuit is constant, and any attempt to escape is punished further with denials of promotions and humiliation before colleagues. Coworkers, often witnesses, say nothing, eager to avoid a situation that could result in retaliation, a loss of their own positions. Sexual harassment from superiors is hence often coupled with isolation by colleagues who watch, witness and withdraw. The harassed are not only the persecuted but also the pariah.There is a law against all this in Pakistan. The Protection Against Harassment of Women at the Workplace Act 2010, which will be six years old, is a thorough document. The code of conduct included in it defines harassment as any unwelcome sexual advance, request for sexual favours or other verbal or written communication or physical conduct of a sexual nature, or sexually demeaning attitudes, causing interference with work performance or creating an intimidating, hostile or offensive work environment, or the attempt to punish the complainant for refusal to comply with such a request or is made a condition for employment.It goes on to add that the above is unacceptable behaviour in the organisation and at the workplace, including in any interaction or situation that is linked to official work or official activity outside the office.The abuse of authority, creating a hostile work environment, and retaliation are the three categories that mandate action against a harasser. Detailed stipulations are set out for the establishment of investigative committees, ombudspersons, etc, who are charged with resolving the issues raised. A range of penalties from censure to outright dismissal are postulated. All employers are required to display the code of conduct prominently on their premises.When the law was passed in 2010, it was feted as a success. It would take time for its provisions to change the culture of the workplace, the more circumspect said. Change comes slowly but a law is a first step a legislative commitment supported by elected representatives signals that the path ahead will be a different one, in this case one where the harassment of women in the workplace would not be permitted.Not much has happened since then. Harassment is still rampant in the workplace (the majority of workplaces have little idea as to what the code of conduct is, let alone of the requirement to display it visibly in employee areas).Women still regularly report being verbally harassed and even physically assaulted by their superiors who, making calculations regarding their need for a job, their desire to get ahead, their inability to refuse, unabashedly continue with such acts. In the face of unwanted advances, Pakistans women continue to find themselves alone, unsure of where to take their complaints and how to protect themselves.Even in the development sector, where the very agenda of many organisations is to empower women, similar problems persist. In one, a cofounder of an organisation faced so much harassment by a male colleague that she was ultimately forced out. New, more pliant women hired to take her position have since complained of similar problems. The man in question, however, remains untouched, undoubtedly displaying similarly harassing behaviour to new prey. Other men have come to his defence  perhaps recognising their own behaviour in those of others and eager to ensure that no one gets punished.Misogyny is manufactured in two major flavours in Pakistan. The first is on the premises of religious obscurantists whose hankering for the reinstatement of a strictly segregated society sees the harassmentfilled workplace as a grim substantiation of their warnings. Women should not be in the workplace at all, the male conscience is unable to police itself.The second, one that wrongly labels itself as liberal and progressive, imagines it to mean a licence to harass and harangue. A womans willingness to put up and shut up is, in its mind, the product of this progressivism, its illogical mindset equating women in the public sphere with women sexually available to all men who may want them. The two flavours compete, their poisons infecting the working lives of women  doctors, lawyers, shopkeepers, bankers, teachers, professors and countless others  who are daily forcefed these bitter morsels of misogyny.Laws alone cannot change society the sexual harassment of women (and nearly everyone who reads this article either knows someone or is someone who has faced harassment) continues because it is considered permissible, something women ask for when they leave their homes.This belief is reflected all the time and everywhere in Pakistan, in soap operas that vilify working women as predators out to seduce innocent men, to workplace conversations in which men dissect the desirability of their female colleagues, their participation often a measure of a masculinity that fears competition from women. In the matter of sexual harassment in Pakistans workplaces, there are the guilty and the very guilty, they are far too many men complicit, quiet," eager to embrace or enforce their right to harass.	0	0	1"
"0001	Four or five recent events of violence and abuse", and the public reaction to them, merit comment. First, it is amazing how distinctions are being drawn by many between language used inside the parliament and outside. Let me begin with unreservedly condemning Defence minister, Khwaja Asifs, comment on opposition leader Shireen Mazaris voice his rhetorical request to make her voice feminine and the use of the term truck trolley.Mohammed Hanifs insightful piece on the subject correctly identifies these remarks as harking to patriarchal expectations of how everything woman should conform to a standard set by a male how men in this society feel  to dictate terms, behaviour, dress and even tenor of voice to a woman. From anyone else it would have been bad enough, but from a member of parliament and a cabinet minister, everyone expects a higher standard of restraint and control over his anger.However, the seriousness with which this is being debated and protested in the parliament makes me a little perplexed. When the same parliamentarians indulge in, and see, much worse language and behaviour outside the parliament in public spaces, on national television and social media, how do they expect to have it not creep into the house? Arent they the same people, talking about each other outside and inside the house? Indeed, arent their supporters and we all a part of the same society? I was dismayed, but not too surprised by the altercation in the house between Ms Mazari and Khwaja Asif.I am more surprised at the indignation, given that the indignant people know very well how low the standards of any kind of discourse have plunged all around us.The same PTI, that is up in arms right now (rightly), has never bothered to condemn or be indignant about the utterly obscene abuse hurled at their sisters and fellow citizens who oppose them politically. One is witness to such language, abuse and misogyny on social media and television day in and day out. PTI leaders language and abuse for their male opponents from atop containers and on television shows is no secret either, hence I do not feel the need to repeat it here.Other parties, too, have been guilty of similar behaviour, though not to the same cesspit extent. But they certainly are guilty of acting surprised when something like this happens on the floor of the house. They should have been condemning and boycotting those who have played an active part in dragging standards of discourse so low that one is afraid to even speak for fear of abuse.One of the guilty parties is certainly the media. Everyone knows which channels or show hosts love to create situations that might give dividends in the shape of some abuse, salacious slurs, a few slaps, punches or glasses of water and coffee thrown about. Why then do those who claim to be above it all not boycott these channels and shows? Why does every MNA, MPA, advisor, activist, economist etc.still behave like a media whore and grace shows of hosts they know encourage abuse, fights and bad language to obtain ratings? Why do they act all sanctimonious now?It is appalling that leading lights of several opposition parties continued to spend all their energies and time, and use up all of the medias energy and time on the so called TORs for the Panama Leaks commission day in and day out. It seemed as if nothing else was happening in the country as if everyday there was not a report of a woman being burnt alive for honour, or some other equally horrifying or serious issue that could merit their attention. But the self serving focus on going after the Prime Minister to the exclusion of all other duties was disgusting to say the least.Ones ears oozed with pus at the nonstop months long hyena shrieking press conferences and appearances on TV shows on the Panama TORs. It was only when the fourth girl in four days was murdered that leader of the Senate, Raza Rabbani, took notice and tasked the senate to do something about it  after which everyone made it their cause. This is the level of apathy towards the plight of the people generally, and to the growing violence towards women.Is our rulers apathy, and the resultant impunity from violence against women, exactly not the reason that Senator Hamdullah (I cant believe he is a senator) of the JUI thought he could, in the presence of several people in the studio, and on national television, level not only the most explicit, pornographic and filthy abuse at well known rights defender and columnist Marvi Sirmed, but also thought he could beat her up? What he did, and tried to do, in public should demonstrate to everyone the level of apathy towards violence against women in this country it should demonstrate to everyone what is going on behind closed doors. If this man thought he could, and would, get away with what he was doing, it should tell all something about the state of this society.So fearless is the JUI, and sure of support from the ruling party and the government of the day, that after the day befores assault on Marvi Sirmed, Hafiz Uzaifa Shakir of JUIF yesterday released a video saying," hum Pashtun gali ka jawab goli se dete hein (we Pashtun respond to abuse with bullets).It is tragic and heartbreaking that not a single PMLN leader has publicly condemned the JUI senator for reasons of political expediency. It is brave women like Marvi Sirmed who stand to support elected governments it is people like her who stand to protect the democratic project but the democrats we support and protect forsake us at these crunch times that are true tests of democratic norms and values.	1	0	0",,,,,,,,,,,,,,,,
"0002	This article was written last year when this situation took place. I was barely entering 11th grade. Now", as I leave high school with flashbacks of this day and all the times my body has been the empty canvas for boys to splatter paint on, I will tell you the story of a 10th grader in Gurgaon.quotThe strangers lips grazed upon the ends of my cheek. My bruised arm was pinned down on the dusty grey ground of the room while I kept my alert eyes outside on the faces of unknown men in uniform. They smirked as the stranger slid his snakelike fingers down my body. He struggled to undo the button. I could feel my eyes turn red when I bit him hard into his shoulder and in a small voice said, No, I have to leave. I dont like this. I felt the empty liquor bottle against my legs and his hands against my flesh. I jerked up and pushed him aside. My head buzzed of alcohol and panic as I managed to stand up and look around. Did I really want this? He straightened up and pressed my frail body upon the naked wall. No, I did not. I pushed him aside and ran towards the open hall. Men of all ages stood on the railings, oblivious of the act. My cheeks burned of forced kisses and shame. Holding my shoes in my hands, I scurried through the staircase in the search of a known face. Who was I looking for? Who was I running from? I reached the cold lobby of an office. I stared at the entrance, and there he was my strange glaring at my anxious face. He shoved my stiff self on the closed elevator, seeking to unfasten my pair of shorts. He settled for forcing his slithering fingers down my waist. He whispered, I am going to finger you like an asshole, as I whimpered and hopped away from him. I felt the back of my clothes, seeking for a phone. It wasnt there. A rush of panic and exhaustion, and I fled out of the office to the hallway. I rummaged around the building, exploring every step I took earlier, to search for a prized possession. It was not there. My eyes burned even more now. Tears blinded my vision and settled on my raw cheeks. He was behind me. I rushed downstairs and headed for the busy road. It was broad daylight, as I scuttled barefoot in the search of my friend. It was too late. She was gone, and my stranger was behind me, grabbing my shirt. His strong hands ripped the cloth. My bare back became exposed to the blinking lights and stare of million nameless men. I cried for help but nobody cared enough to hear. I ran faster, without the possession of a phone, money or my bag. Why was I here? I gazed at the crowd nearby. I came to rest on a staircase. Tears ran down my face, unknown figures settled around me but in my head, I knew what to do. Him, I whispered as I strived to punch the familiar number down on a phone.Do you remember the moment when you were child and you had gone astray from your parents in a crammed up market place? How at that moment, you were devoid of any thoughts and the only thought of worth was how to get back to your safe haven? Do you remember the worry on their faces? That moment was of such magnitude. I shook back and forth, glancing through abundant faces, unable to see his delicate features muddled up with concern. Men and women walked past me, putting forward a helping hand but I did not trust them. It was a matter of minutes, when his agonized face rushed past me. I stood up and ran towards his open arms. The world stood still as he held me. I took in the accustomed smell of his cologne and felt a homesick wave crash on the walls of my head. Im scared, hes going to find me. I said, and that was enough for him to know. He took out a grey shirt from his bag and walked me out of the eyesight of alien people. Wear it, he murmured and propped his hand on my shoulders to pull me close. He rescued my other friend from the clutches of my stranger and his friends and departed from the cursed location. The ride ended at my house. He held my face and in a low voice, inaudible to my friend in the next room, asked me for a favour. Dont do anything stupid, he said anxiously, as if reading my mind. The state of my friend was beyond the category of wasted, and following his given duty, he picked her up from the marble floor and led her towards the societys gates. He waved a brief goodbye and timidly walked away from me.Sometimes, you dont need words to explain how you feel. Sometimes, you just know. Like that, I just knew. There, enfolded in his scent from his shirt, I felt possible. I was petrified from the episode, but his face made it easier to breathe in. Sometimes, you dont need to be dating or loving somebody for months to feel comfortable with. You dont need to kiss him, or even have him around you all the time. Just his nervous presence lingering around you in that moment is enough to demonstrate and establish a brief connection. He was my safe haven, even if for those few minutes. I was sorry that it was over but all the more glad, he was there for me. When he said those words on the phone, they were a formality. But standing there in the park, watching him walk towards the gates, I could feel it happening. It may not have been an episode of such importance for him, but for me, it changed everything.Im sorry that the dance ended, but there, in your arms, I swear the world stood impossibly still.quotI attempted suicide a few hours later, but I was saved. And I live to be strong," and tell you this story.	0	0	0",,,,,,,,,,,,,
"0003	Harassment is a blow any girl can suffer anywhere. Harassment is not necessarily an attack by just strangers", it can be an intense assault within the confinements of your house you considered your home. Here I am typing my own story of an account which shook my life and left it scarred in a way that I attest as irreversible. On an eventful Sunday, I returned home to an eerie silence. The tension in the air was palpable and the looks in the eyes of my dad were unmistakably of anger. I kept quiet and walked to my room, hoping that I was just worrying for no reason. I slouched on my bed with a slice of chocolate cake and tuned into my favorite channel on TV. Two hours later I was summoned by my Dad for a discussion and I knew at that very moment that all my fears will materialize in a span of few seconds. I come from a conservative family, where I am the only girl who is working in a corporate, who is career oriented, and independent in her thoughts and actions. Truly liberal and yet righteous in my thoughts, I have never questioned my approach towards life. I have been constantly put down by my family, I have incessantly been compared to my elder brother, my thoughts have been suppressed, and my ideals have been questioned. That night, my dad was furious for I was out on a Sunday with my friends for a social cause, in a mixed group of girls and guys, which was unacceptable to him though God knows why he coeducated me though God knows why despite being an educated man, his thoughts were shallow and hurtful as they demeaned women. He was in a rage that I was too independent for his governance and societal norms. He considered my independence and will to make a mark as insolence and immoral. He wanted me to be confined to the four walls of my house, preparing myself to get married without even realizing my dreams. As I sat there objecting, he asked for my phone and decided to cut me off from my social circle. He crushed my brand new phone to pieces and threw the broken pieces right at my face, the shattered screen leaving scratches wherever the tiny broken glasses pricked me. As I further relented, he hurled abuses and called me names a father can never associate with his own daughter. My tears had dried listening to it all, I was feeling stronger and motivated to not succumb to this harassment this was the worst I had seen and somewhere it brought me to peace that I had already faced the worst. I constantly defended my education, my career, and my strong ideals against his baseless , autocratic, and barbaric thoughts. I would call it barbaric as I could have never imagined that my own father would move agitatedly around looking for a knife in the kitchen to further harm me. That just killed every emotion I could associate with a fatherdaughter relationship. I stood upto him and looked him in the eye and told him that this was the worst thing he could ever do and he shall never be forgiven. Our relationship ended that night and I havent spoken to him eversince. As I walked out of that room, and not that house, just for the sake of my mother, I wept endlessly in my room, not able to fathom what just happened to me and why. My dads extreme behavior, the silence of my mother, and the fear in my brothers eyes made me realize how shallow our society is how can we even call it a society where ones life means nothing just because she is a girl. Who allows them to believe that women are weak or inferior?  There is absolutely no logic, no rationale, and absolutely no forgiveness for anyone who cannot respect a woman, be it our own parents. I know of so many girls who are living a far more dreadful existence and I have penned my story not for sympathy, not for appreciation for standing up for myself, but simply to encourage all the women and men reading this to propagate an understanding of how beautiful, divine, and amazing women are as gods creation. I want us all to make a society where every woman is safe, happy, and successful where every woman is an equal to every man. Do not cry, do not lose hopes, and do not deprive yourself of education as that is your true independence and absolute achievement. As we pin the creeps across the cities, and enlist all the crime spots around us, we need to realize that women are suffering at the hands of their own families. A true movement of women safety will begin when all the women stand up for themselves. Only when you respect yourself will the world respect you. Stay strong," stay safe!	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0004	It was my first day in Bangalore(after spending 4 years in Delhi). My kitchen was not yet set up hence we(me and my male friend) went out for dinner to a restaurant which was located at a very central area. At about 1030PM", we were done with our dinner and while heading towards my car which was parked about 500 meters from the restaurant, four men(looked like in their forties) started calling me out, saying 'excuse me', on turning towards them, they started teasing me, passing comments like 'miss you', 'hello' and all. My friend got furious with them but I somehow managed to convince him to get into the car and  We chose not to react. However, my friend asked me to stay inside the car and went out to note down their car number. These men seemed to notice him note down their car number, and after a while, they started man handling him. Fortunately I had a 'Naga chilly spray' with me. I took that out, ran towards them and managed to knock out three of them with the same. The fourth man got hold of my hand and pushed me down the road, and I hit my head. The saddest part was that people around were watching as if there is a drama being played on the road. Nobody came for help. While my friend was busy at the other end trying to fight with the rest of them, I saw one of the men take out iron rods from their car dickey. I pulled my friend telling him no one is gonna come for help and we will not be able to help ourselves either. We ran towards the car and immediately went inside. On turning the car to take a Uturn, two or three of them came running towards us with the intention to hit us, but since we were already inside, they smashed all sides of my car glasses. We rushed to the nearest police station asking for help. On showing them their car number(which my friend luckily noted down), the police personnel hesitated to file an FIR(As per our understanding, they seemed to be local/political goons residing in the same area. We left my car at the police station for the night, returned home at about 3AM in the morning and again went back to the police station for filing the FIR. After repeated failed request, we had to use my friend's position(he is in the army), we spoke to the head of that police station and filed the FIR. I was totally devastated from inside and wanted to leave Bangalore the very day. I cried the whole night and asked my friend to drop me home, maybe for a month, or two, or maybe forever, but I woke up the next day, and decided to fight this out. Being a woman living alone in the city, with 'different' looks and a car that these people can easily identify, I didn't want to get into the mess of making rounds at the police station, and court case(my friend also had to leave for work in few days), I decided to take back the FIR but also stay back in Bangalore and move on. We looked for a new house the very same day and I moved to a farther and safer house. It may be a question on someone's head as to why I withdrew the FIR and didn't try to punish those culprits. But we all know that the country that we live in. Even murderers are set free from punishment, leave aside eve teasers and people who made injury to us physically and damaged our property. This is a story, not only because I want to share one, but it shows how our own country has failed to protect its own citizens, a story of the faith that a woman doesn't have in her country's governing authority, a story that shows how we humans lag in being a helping hand when others are in need(yes, there were families watching the incident), a story to tell, that no matter how much hatred the world puts into you, you still need to have a love for humanity, a story," hoping that we(women) shall overcome from all these pain one day.....	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0005	The following is what i had written a day after this horrific experience 23 years back.quotTeri chut lene me maza aa jaegaquot he said to me. Maybe it is my fault. I never should have known what that means. And I replied with quotmar ja jakequot", my voice quivering. And as with every sharp exchange of words, later, for quite some time I thought of better responses I could've given. quotPolice ke pass chalega? mujhe bhi maza aa jaega..quot or quotquot well thoughts I am still not able to put into words. Suddenly I was given a glimpse of what it would feel like to be a rape victim. It probably would be too clichd to say that I suddenly felt exposed to everyone around me. At the same I could see indifference in many eyes around me. They knew not what had just happened in the middle of the road, in broad daylight (please note that I am still speaking like a rape victim). I saw a mother with a daughter probably 810 years old with her. The gap of about 1m between them made me feel insecure for them. I wanted to shout out to the mother to grasp her daughter's hand and hold her close. And I suddenly understood why mothers are so protective. I knew he was still somewhere around me. Watching. Loving and getting high on the reaction he'd caused in me. This thought made me lighten up. I didnt want to give him the satisfaction. I looked around cheerily again. Well not really, just normal enough. All the men around me suddenly seemed to be leering. A casual glance felt like a perverted gaze. I wished my pickup to be here already. The stupid 20 something year olds that I have encountered innumerous times suddenly began to seem threatening. Who am I to judge? I know sex addicts. I have 1st hand experience with them and their lust and what their addiction does to people around them. Suddenly a thought comes to me. He had guts. I mean at this stage in his addiction (Im assuming that I am not blunderously attractive and he just says this kind of thing to young girls), he probably does it out of compulsion, but he must have started somewhere. I dont know a single person who would say out loud something like this, even in a relationship, during a naughty role play night. This I believe is tougher than proposing to a girl. Or maybe it isnt for him. Maybe he was brought up in a family in which an angry father told his daughter off with heavy abuses, the mother was openly told by the father that she is to pleasure him tonight, the siblings would call each other swear words involving their mother," the sister was casually called prostitute and told to do things wives are fit for.PS Please note that the date n time are approximates.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0006	I think there is no woman who has not gone through some form of sexual harassment in this country. It is sad that I cant step outside my home without a hint of fear in my mind. I have had experiences standing at my bus stop as a child", with a friend of mine waiting for my school bus to come, when a man in a big car took rounds throwing pieces of paper with his number written on it. Then there was another time when I was standing outside my house waiting for a friend to come pick me up when a car stopped and refused to leave until he saw my friend come. For God's sake right outside my house?!? I would like to state another example when me and my friend were returning from the market in a rickshaw and we were followed by a car full of men passing lewd comments and the rickshaw guy had the sense of taking a different route. When he dropped us home he asked us quotDidi kya aap un logo ko jaanti thiquot? and i replied saying no, and his answer was quotisliye maine doosra raasta le liyaquot. What i'm trying to say here is that it is not just the poor and uneducated people to blame every single time, there are quoteducated menquot from well to do families in big cars doing this!!! Another time i was stopped by a well spoken man on the defence colony  kotla road again in a big car asking if i want to be friends and whether he can drop me home, when i said no he kept following me, i had to go to a crowded place in my market in the colony to get away from him. Another thing i would like to say is that the I am a resident of Defence Colony which is quotsupposedlyquot a colony for the defence people," should be safe but sadly it isn't. Nearly every evening i notice prostitutes standing in nooks and corners amp cars stopping and picking them up inside the colony itself. There are a number of lady boys who stand right at road that turns into Defence Colony opposite the Lajpat Nagar metro station. At the turn there is a police check post at night for so called quotsecurity reasonsquot and they stop cars as and when they want (only when they're bored or want to make some money). Do they not know that these lady boys/prostitutes stand there and get picked up every night??? What is the police doing??? It happens right under their noses and they're oblivious to it!!! This is a great initiative but i hope it continues and is not short lived. We really need to do something to bring about a change in the mindset of people in this country which ironically worships goddesses !!	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007	Is this how women get harrassed by police in Nepal?orWhat happened to me today.Let me tell you", what happened to me today. I wanted to get some food, while I was on my scooter, putting the signal, stopping and some seconds after, all of the sudden, somebody hit me on the scooter really hard with his bike. Luckily, there were many people around, but the driver ran away afterwards. He left behind his friend, that tried to run also, but people could hold him back. He had to go through all the charges, the driver, most probably not having a license, did never show up or tried to apologize. But this is not the story, I want to tell you here.What happened after, going to the police station, was even worse. Not, that things like this happened never happened to me already in Nepal before, but this was just ... hitting me much harder. Please consider also, that I was, obviously, under shock from the accident. Not only this, constantly police men at the Police Headquarters were making fun of me and making me look stupid. They treated me like if I was not capable, not being supportive, nor trying to help. They did not even talk to me properly. And they did not even try to talk to me in Nepali, nor English. They just talked to the male person (he was called my tourist guide), that I called after the accident and was with me, about the case, even if it was my scooter and he was not present during the accident. The only occasion, they addressed me, was when the chief of police, that was in charge started asking me for my number and called me sexy. Can you imagine, being in that kind of state of mind after an accident and police takes advantage of it?We are talking here about police headquarters in Kathmandu. This did not happen in any back room somewhere in nowhere, where it cannot be justified in any case also. This happened publically, with people being present and observing this. Nobody spoke up.Is this how the police treats women in Nepal?Having a very privileged position as a foreigner, I do not even want to imagine, how Nepali sisters get treated, who have no embassy at their back, which the police men are afraid of.Can this behaviour really be accepted and ignored? Is that the police," that should serve the public and protect the people?	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0008	I was walking down the 15th  main and just turned into the 16th cross in HSR layout sector 4 when I heard the sound of a scooter behind me.  So I moved to the left hand side of the road.  That particularly short stretch is a little dark as there are no houses on either side of the road and the trees are tall and thickly grown hiding the light from the street lamp.  After a couple of minutes I realised that the scooter hadn't overtaken me", just as I realised this and turned my head to see the scooter rider put out his left hand and grabbed my right breast.  I was wearing a thick sweater because it was late January and cold in the evening.  Even so I felt completely violated and screamed out an abuse. Fortunately the sound actually came from my throat.  When I realised that I shouted again.  He had grabbed my breast and taken off immediately but when he heard me abuse him loudly he stopped and turned and made as if to return, but at that moment a young man turned the corner and I think that made him take off fast.  I thought he would turn and get on to the 17th cross so I turned and went on to that road but he just disappeared.  I can still remember vaguely his face and the fact that he was on an old scooter  vespa or lambretta  and was wearing a jacket. For more than a month I was scared everytime I walked on the road and heard a vehicle behind me.  However, gradually with the support of friends and family and through prayer I overcame that.  I am a Professor, I train people to report crimes, to resist, to fight gender discrimination and all that and here was I a middle aged woman perceived to be strong and confident shattered by an incident like that.  It wasn't the first time but something like that had happened after a long time, I had let my guard down as I was on sabbatical at that time and rarely went out.  I didn't report to the police as I was I didn't know what I would tell them  no vehicle number, no definite description of the criminal.  I wish I had," just reporting that something like this had happened may have made the police alert.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0009	I once visited GB road area which is near the  New Delhi Railway station. Lot of my pervert friends suggested me to pay a visit. Roaming there casually", I initially saw 23 Police check posts and a primary school which puzzled me if it was really the Biggest Red Light Area of Delhi I've heard of. Walking swiftly to clear my confusion, I was attended by brokers who mistakenly(or intentionally) interpreted me as their potential customer. Quite surprised seeing no fear on their faces while promoting an illegal act of prostitution, I went ahead to explore more about the situation. Sneaking inside some of the 100's of brothels, I was depressed to notice girls of less than 12 years raising up their skirts to lure me up !Curious to know more, I started asking questions from the bookies about the monetary aspect of it(i.e the charges ). We were completely taken aback bylistening the offers.Twas pretty much around 200 bucks for an orgasm(Single shot as they call ) and around 800 for 1 full night. This was not even half of what we expected !Still curious before I end my little journey to almost a hell, I enquired the inside details and experiences of those pathetic youngsters leaving the brothels in numbers of hundreds.Twas so awful to hear the procedure of it.One has to choose among hundreds of prostitutes inside the brothel. Having chosen," the money is paid in advance to the cashier. A receipt is provided along with the number of your turn.And there you go after waiting in a balcony and being offered almost every thing you would like to drink or eat !Some horny youngsters also advised us to visit only Brothel 64 as the others have a poor reputation of looting people once their job is done.It is a clear violation of human rights of the prostitutes who are on with their job around 1617 hours a day !I am sorry to write so less about it as I am out time right now.I would be quite happy although to mail you a detailed writing soon.This is the first time I've got a platform to express my concern on this.So keep it up)	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
